Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
14680,41662,4313,6082,1320,18130
44390,22418,23018,9778,19429,10278
32333,9124,18581,39716,43802,20243
19610,12183,42685,31148,43397,4409
43802,31690,1131,14415,13803,39807
43397,40972,43948,44247,14542,5198
1320,10193,24694,18260,251,10783
13803,24643,34908,42906,21831,41945
21831,1624,11339,27479,16985,30825
251,12259,23105,1111,22679,14827
26478,40793,1939,10783,35183,12281
35183,42088,35063,18130,12555,4722
16985,17436,42916,10278,4313,15910
3260,6302,3897,20243,23018,14415
12555,7436,5094,4409,42685,27560
22359,40737,29289,39807,30139,6543
30717,7483,11068,5198,1131,43474
4313,18489,12148,13936,43948,8994
23018,12288,18422,28795,18581,22669
31544,20151,29099,5149,34908,28657
6632,6082,2479,41945,24694,41849
26971,9778,15825,14827,23105,17222
42685,39716,24656,30825,1939,40457
1131,31148,30363,14302,42916,6593
43948,1959,15371,6203,3897,20613
11339,44247,18550,5464,5094,43172
34908,42906,22418,2114,29289,41096
24694,18550,9124,15910,11068,10239
18581,24678,41662,43474,18422,12110
1939,18130,12259,27560,17538,41521
35131,30912,40972,6543,28901,8602
35063,10278,10193,13873,29099,13680
42916,39807,7436,8994,2479,1352
3897,4409,24643,22669,20606,19434
5094,20243,1624,28657,15825,2503
8719,5198,42088,41849,30363,11300
11068,13936,40793,40457,31485,40489
29289,10783,13432,6593,15371,17258
26406,5149,17436,20613,12812,41819
12148,41945,35492,43172,41662,6532
18422,15081,6302,41096,22418,20395
20750,14827,4734,10239,9124,16114
30678,30825,40737,8003,12259,42178
28437,4722,38564,12110,12183,42907
34856,14415,37013,5162,40972,43436
31485,27560,29063,28359,10193,31885
20440,29063,1959,41521,35620,43932
29099,43474,35571,8602,7436,39952
20606,8994,18489,26396,1624,7988
2479,5464,7483,17914,42088,17007
24656,13873,4722,20157,40793,33638
15825,20640,12288,4419,13432,43412
23078,29975,20151,13680,17436,631
30363,40457,6082,1352,39456,14716
36340,43172,12281,10775,35492,33209
15371,6593,39716,2503,4734,6247
28594,41096,42906,11300,40737,27864
34896,10239,30722,40489,37013,42433
10193,16579,18260,41819,29357,41094
9124,24536,44247,20395,18550,42015
22418,8003,24678,16114,1959,930
12183,12110,15081,30503,7483,19676
31690,16540,28795,42178,18489,40571
41662,5162,39807,42907,12288,9513
40972,11859,18130,43436,20151,40087
35620,16586,10278,43932,6082,41476
24643,41521,20243,39952,9778,33965
1624,8602,4409,7988,39716,3468
40793,26396,5198,17007,31148,25093
35492,17914,38618,43412,35571,22388
13432,4419,13936,631,31477,40673
42088,17376,10783,14716,44247,22628
17436,1352,5149,19789,42906,42358
40737,10775,41945,4422,4722,8485
4734,2503,14302,22996,12254,6819
7436,11300,14827,25108,24915,1936
29063,40489,30825,6247,18130,4115
29357,17258,14415,19676,10278,29916
12254,31727,6203,42015,24678,43429
24915,41819,5464,41094,4409,25036
24678,20395,17864,42433,39807,23805
34508,6532,43474,930,5198,31924
7483,22177,27560,19500,15081,20312
30722,16114,6543,40571,41945,40597
29975,42178,13873,40087,10783,11746
6082,42907,8994,22744,14302,29745
12288,43436,22669,3468,14827,285
18489,39952,28657,41476,23329,41891
39716,12177,24443,22388,30825,31507
27479,631,40457,43432,12281,43038
1959,19789,43172,40673,14415,19942
44247,20436,41096,42358,15910,32166
18260,14096,10239,8485,2114,6651
42906,19676,16579,6819,13873,13256
36445,6247,24536,18355,27560,14601
14302,29326,8003,1936,6543,44018
18550,42015,12110,22401,43474,4091
18130,41094,5162,8341,8994,33522
10278,42433,11859,43429,22669,9726
20243,930,16586,23762,28657,923
4409,19500,35461,44131,41849,11931
39807,40571,35883,20312,29975,27635
