Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
36366,18745,28037,15676,23084,659
39611,15676,17934,11823,29546,666
30948,11823,37695,23470,27766,669
23349,23470,18745,23021,25082,671
27997,23021,15676,42373,6053,674
28852,42373,11823,17932,18980,675
23084,17932,23470,33256,28037,679
29546,33256,23021,7457,17934,682
27766,23908,42373,23908,37695,683
25082,7457,17932,13597,32338,684
6053,13597,33256,24737,18745,685
18980,24737,7457,2412,15676,687
37695,2412,23908,42748,11823,688
17934,42748,13597,40437,23470,696
28037,40437,24737,12454,23021,698
32338,37417,2412,3102,42373,699
18745,12454,42748,29232,17932,700
15676,3102,40437,31095,33256,702
11823,31095,37417,38913,7457,705
23470,29232,12454,14058,23908,706
23021,38913,3102,43890,13597,714
42373,14058,29232,16039,24737,715
17932,43890,31095,33872,2412,721
33256,33819,38913,25518,42748,725
23908,16039,14058,17689,40437,729
7457,33872,43890,21586,12454,730
13597,25518,16039,24642,3102,733
41569,17689,33872,40903,29232,734
39695,21586,25518,23351,31095,737
24737,24642,17689,20358,38913,739
2412,40903,21586,21302,14058,743
42748,23351,24642,23497,43890,744
40437,20358,40903,30250,33819,745
37417,21302,23351,15024,16039,746
12454,36833,20358,28499,33872,748
3102,23497,21302,17629,25518,756
31095,30250,36833,43541,17689,757
29232,15024,23497,17540,28290,760
38913,28499,30250,17587,21586,761
14058,17629,15024,3803,24642,764
43890,43541,28499,33183,40903,765
33819,17540,17629,27903,23351,766
16039,17587,43541,2569,20358,769
33872,3803,17540,13364,21302,780
25518,27903,17587,18427,36833,781
17689,2569,3803,14537,23497,786
21586,13364,27903,8232,30250,788
24642,18427,2569,5118,15024,790
40903,14537,13364,6612,28499,791
23351,8232,18427,5988,17629,793
20358,26512,14537,40419,43541,794
21302,5118,8232,36683,17540,795
23497,6612,5118,38502,17587,796
30250,5988,6612,35301,3803,799
15024,40419,5988,8554,33183,800
28499,36683,40419,7047,27903,802
17629,38502,36683,33099,2569,803
43541,35301,38502,40284,13364,807
17540,8554,35301,2884,18427,810
17587,7047,8554,32236,14537,814
3803,33099,7047,16771,8232,816
27903,40284,33099,20083,5118,820
2569,2884,40284,17162,6612,823
13364,32236,2884,17097,5988,826
18427,16771,32236,9049,40419,827
14537,20083,16771,35080,36683,828
8232,17162,20083,20479,38502,829
5118,17097,17162,12583,35301,832
6612,9049,17097,7585,8554,833
5988,35080,9049,8854,7047,834
40419,20479,35080,7067,33099,835
36683,12583,20479,31626,40284,836
38502,7585,12583,35304,2884,837
35301,8854,7585,7435,32236,838
8554,7067,8854,27443,16771,840
7047,31626,7067,37361,20083,845
33099,35304,31626,23025,17162,848
40284,7435,35304,21213,17097,849
2884,27443,7435,41086,9049,852
32236,37361,27443,43758,35080,853
16771,23025,37361,37640,20479,854
20083,21213,23025,372,12583,856
17162,10931,21213,6270,7585,857
17097,41086,41086,13266,8854,861
9049,37640,43758,22199,7067,864
35080,6270,13266,3303,44535,865
20479,372,10931,15314,31626,866
39837,22199,372,5790,35304,871
12583,13266,37640,34233,7435,872
7585,43758,6270,22769,27443,874
8854,3303,22199,17830,37361,880
7067,15314,3303,22042,23025,883
31626,5790,15314,18219,21213,888
35304,34233,5790,31674,41086,889
7435,36792,34233,37215,43758,891
27443,22769,22769,31484,37640,892
37361,17830,17830,4694,372,893
23025,22042,22042,38301,6270,896
21213,18219,18219,20933,13266,897
41086,23732,23732,15883,22199,898
37640,24691,24691,24720,3303,900
6270,31674,31674,27648,15314,903
372,31484,37215,15559,5790,904
22199,4694,31484,14374,34233,907
13266,38301,4694,4439,22769,909
43758,20933,38301,23806,17830,913
3303,15883,20933,2205,22042,916
15314,27648,15883,18661,18219,917
5790,24720,24720,27327,23732,921
34233,15559,15559,10373,24691,923
36792,14374,14374,37547,31674,924
22769,4439,4439,26119,37215,929
17830,23806,23806,3390,31484,930
22042,2205,2205,35210,4694,933
18219,18661,18661,33368,38301,934
23732,27327,27327,4251,20933,936
24691,10373,10373,21133,15883,938
31674,37547,37547,13169,24720,940
37215,3390,3390,5537,15559,941
31484,35210,35210,39877,14374,942
4694,33368,33368,6884,4439,943
38301,4251,4251,6188,23806,946
20933,21133,21133,24388,2205,948
15883,13169,13169,28254,18661,949
24720,5537,5537,7660,27327,954
15559,39877,39877,5555,10373,955
14374,6884,6884,29747,37547,956
4439,24388,24388,5529,3390,957
23806,28254,28254,5157,35210,958
2205,7660,7660,38734,33368,960
18661,29747,5555,3562,4251,961
27327,5555,5529,13400,21133,963
10373,5529,5157,34441,13169,964
37547,5157,38734,23192,5537,966
26119,38734,3562,34547,39877,967
3390,3562,13400,21666,6884,970
35210,13400,34441,15551,24388,972
33368,34441,23192,3617,28254,973
4251,23192,34547,22625,7660,974
21133,34547,21666,8957,5555,978
13169,21666,15551,14151,29747,980
5537,15551,3617,19600,5529,981
39877,3617,22625,27008,5157,983
6884,22625,8957,28463,38734,984
24388,8957,14151,7618,3562,985
28254,14151,19600,1054,34441,988
7660,19600,27008,10338,23192,989
29747,27008,28463,16706,34547,990
5555,28463,7618,2943,21666,991
5529,7618,1054,11965,15551,994
5157,1054,10338,22557,3617,997
38734,10338,16706,6709,22625,999
3562,16706,2943,43753,8957,1001
34441,2943,11965,22587,14151,1005
23192,11965,22557,20160,19600,1006
34547,22557,6709,11244,27008,1007
21666,6709,43753,30490,28463,1008
15551,43753,22587,17479,7618,1009
3617,22587,11244,34501,1054,1010
22625,11244,30490,25158,10338,1013
8957,30490,17479,25760,16706,1014
14151,17479,34501,34654,2943,1015
40212,34501,25158,19374,11965,1016
19600,25158,25760,17454,22557,1017
27008,25760,34654,39689,6709,1020
28463,34654,22888,20531,43753,1023
7618,22888,19374,21654,22587,1029
1054,19374,17454,36789,20160,1031
10338,17454,41732,5438,11244,1035
16706,39689,39689,24205,30490,1037
2943,20531,20531,22780,39435,1041
11965,21654,21654,34207,17479,1043
22557,36789,36789,10457,34501,1044
6709,24205,24205,21973,25158,1046
43753,22780,22780,43782,25760,1048
22587,34207,34207,2459,34654,1049
11244,10457,10457,35484,22888,1050
30490,21973,21973,36591,19374,1052
39435,43782,40410,26807,41732,1053
17479,35484,43782,16961,17454,1054
34501,2459,2459,5018,39689,1055
25158,36591,35484,14326,20531,1056
25760,26807,36591,32431,21654,1057
34654,16961,26807,11595,36789,1058
22888,5018,16961,17699,30806,1059
19374,14326,5018,15553,24205,1061
17454,32431,14326,26998,22780,1062
39689,11595,32431,24361,44564,1063
20531,17699,11595,14758,34207,1065
21654,15553,17699,27078,10457,1066
36789,14758,15553,3385,21973,1068
5438,24361,26998,20486,43949,1069
30806,26998,24361,24450,43782,1070
24205,27078,14758,26745,2459,1072
22780,3385,27078,34628,35484,1073
34207,20486,3385,616,36591,1074
10457,24450,20486,23707,26807,1075
21973,42378,24450,24311,16961,1076
40410,34628,42378,36202,5018,1077
43782,616,34628,18461,14326,1079
35484,23707,616,4083,32431,1080
2459,36202,23707,23799,11595,1082
36591,18461,24311,10139,17699,1083
26807,4083,36202,6722,15553,1086
16961,23799,18461,4232,26998,1087
5018,10139,4083,10616,24361,1089
14326,4232,23799,18558,14758,1090
32431,10616,10139,15423,27078,1093
11595,16888,6722,31355,3385,1096
17699,18558,4232,13574,20486,1100
15553,15423,10616,4006,24450,1101
14758,31355,16888,31314,34628,1102
24361,13574,18558,9874,36851,1103
26998,4006,15423,32623,616,1104
27078,31314,31355,24222,23707,1106
3385,9874,13574,31434,24311,1108
20486,32623,4006,5977,36202,1111
24450,24222,31314,35865,18461,1112
42378,31434,9874,35119,4083,1114
34628,5977,32623,9498,23799,1115
616,35865,24222,5665,10139,1117
23707,35119,31434,14898,6722,1118
24311,9498,5977,19066,4232,1119
36202,5665,35865,2002,10616,1120
18461,14898,35119,30820,16888,1122
4083,19066,9498,26805,18558,1123
23799,2002,5665,6601,15423,1124
10139,30820,14898,34719,31355,1125
6722,26805,19066,29108,13574,1126
4232,6601,2002,6142,4006,1127
10616,34719,30820,29986,31314,1129
16888,29108,26805,15022,9874,1131
18558,6142,6601,28762,32623,1132
15423,29986,34719,22636,24222,1133
31355,15022,29108,17709,5977,1134
13574,28762,6142,14889,35865,1135
4006,22636,29986,700,35119,1136
31314,17709,15022,44015,9498,1138
9874,14889,28762,18261,5665,1139
32623,700,22636,37071,14898,1140
24222,44015,17709,13003,19066,1141
31434,37750,14889,37750,2002,1142
5977,37071,700,23052,30820,1143
35865,13003,44015,16954,26805,1144
35119,23052,18261,17285,6601,1149
9498,18261,37071,40935,34719,1151
5665,16954,13003,33731,29108,1152
14898,17285,37750,2334,6142,1155
19066,40935,23052,5135,29986,1156
2002,33731,17285,27038,15022,1157
30820,2334,16954,24025,28762,1158
26805,5135,40935,27075,22636,1159
6601,27038,33731,7885,17709,1160
34719,24025,2334,17988,14889,1161
29108,27075,5135,39367,700,1163
39529,7885,27038,6912,44015,1164
6142,17988,24025,22707,18261,1165
29986,39367,27075,5327,37071,1166
15022,6912,7885,12861,13003,1167
38592,5327,17988,33765,37750,1168
28762,22707,39367,8499,23052,1169
22636,12861,6912,18784,16954,1170
17709,8499,22707,22697,17285,1171
14889,18784,5327,6087,40935,1172
700,22697,12861,42537,33731,1173
44015,6087,39171,34608,2334,1175
37750,42537,8499,28728,5135,1177
37071,34608,18784,41217,27038,1181
13003,28728,22697,29146,24025,1182
23052,41217,6087,2652,27075,1186
18261,29146,42537,14143,7885,1188
16954,2652,34608,42709,17988,1190
17285,14143,11180,30768,39367,1191
26332,42709,28728,39977,6912,1193
40935,30768,41217,6619,22707,1194
