Q_Exactive,Impact_MS,maXis,Our_samples
1246,10170,19928,6885
1268,10172,19986,6907
1294,10244,20021,6910
1301,10347,20024,6943
1305,10355,20035,6949
1309,10391,20040,7065
1315,10392,20149,7066
1316,10403,20229,7067
1320,10425,20605,7079
1323,10429,20608,7093
1325,10449,20610,7113
1326,10466,20683,7120
1333,10485,20735,7135
1334,10519,20778,7139
1336,10532,20838,7142
1337,10538,20862,7154
1342,10641,20930,7157
1345,10673,20976,7183
1347,10736,21069,7188
1357,10738,21076,7192
1358,10740,21086,7194
1360,10749,21266,7199
1366,10825,21268,7203
1371,10908,21295,7206
1372,10910,21296,7217
1374,10922,21300,7231
1375,10931,21310,7253
1376,10997,21311,7279
1386,10999,21573,7327
1388,11056,21594,7329
1399,11072,21884,7336
1407,11074,21891,7358
1414,11115,21897,7378
1415,11127,21904,7381
1418,11210,21990,7447
1419,11227,22005,7448
1424,11717,22048,7470
1429,11793,22096,7520
1432,11794,22154,7521
1438,11795,22346,7530
1440,11797,22465,7565
1442,11804,22477,7567
1447,11816,22581,7570
1449,11826,22583,7588
1451,11830,22635,7647
1452,12033,22638,7648
1453,12059,22670,7704
1455,12085,22746,7757
1461,12087,22888,7779
1471,12090,22903,7809
1487,12107,22913,8053
1488,12254,23015,8063
1491,12286,23257,8070
1492,12320,23321,8104
1505,12334,23327,8111
1506,12342,23528,8114
1511,12344,23614,8154
1513,12354,23615,8192
1515,12419,24280,8234
1520,12439,24344,8466
1529,12705,24394,8470
1534,12707,24499,8474
1535,12752,24659,8487
1536,12755,24660,8500
1541,12757,24681,8519
1544,12765,25292,8530
1545,12824,25301,8537
1546,12838,25335,8539
1548,12855,25423,8540
1549,12880,25454,8560
1552,12885,25561,8561
1554,12892,25659,8562
1556,12970,25662,8563
1559,13052,25718,8573
1560,13117,25728,8585
1564,13120,25842,8587
1571,13121,25934,8621
1578,13131,25938,8659
1579,13145,25949,8673
1580,13146,25973,8674
1582,13150,25976,8687
1585,13170,26107,8700
1586,13254,26118,8706
1592,13257,26149,8729
1596,13261,26151,8736
1598,13336,26178,8788
1601,13338,26429,8792
1605,13340,27343,8808
1618,13452,27349,8820
1619,13453,27358,8886
1620,13455,27361,9004
1622,13458,27762,9006
1625,13459,27783,9015
1628,13524,27816,9077
1629,13540,27854,9118
1631,13542,27864,9123
1634,13544,27867,9125
1635,13556,27868,9130
1636,13568,28222,9157
1642,13569,28224,9169
1643,13570,28489,9175
1646,13623,28493,9236
1650,13656,28494,9403
1651,13695,28496,9431
1664,13704,28512,9524
1671,13769,28513,9552
1677,13888,28516,9653
1678,14155,28541,9689
1679,14220,28564,9707
1684,14318,28572,9724
1691,14377,28601,9762
1694,14400,28615,9770
1695,14424,28642,9778
1698,14489,28643,9779
1699,14538,28665,9792
1701,14620,28684,9798
1708,14673,28700,9814
1714,14687,28701,9815
1723,14724,28712,9829
1727,14821,28927,9861
1732,14912,29569,9916
1737,14913,29586,9917
1740,14917,29657,9918
1743,14934,29659,9929
1748,14940,29666,9930
