Q_Exactive,Impact_MS,maXis,Our_samples
51265,289376,,243520
51286,289403,,243564
51324,289410,,243570
51325,289430,,243586
51326,289447,,243624
51327,289456,,244021
51330,289466,,244061
51336,289483,,244062
51338,289624,,244072
51354,289662,,244085
51356,289667,,244099
51357,289779,,244100
51364,289813,,244143
51374,289826,,244180
51385,289934,,244205
51418,289939,,244263
51420,289959,,244269
51426,289972,,244271
51433,289978,,244277
51438,289980,,244307
51439,290112,,244342
51446,290143,,244343
51447,290195,,244389
51449,290274,,244471
51450,290290,,244499
51452,290296,,244702
51453,290358,,244713
51465,290359,,244747
51467,290366,,244820
51475,290389,,244834
51477,290392,,244837
51478,290397,,244856
51481,290450,,244887
51482,290452,,244889
51498,290464,,244902
51504,290488,,244922
51507,290493,,244962
51520,290500,,245022
51521,290600,,245151
51525,290666,,245152
51533,290673,,245153
51562,290675,,245157
51578,290714,,245158
51616,290789,,245206
51621,290966,,245208
51658,290984,,245232
51727,290986,,245271
51728,290989,,245356
51732,291069,,245360
51734,291201,,245366
51736,291413,,245370
51737,291421,,245373
51741,291585,,245385
51743,291587,,245396
51750,291621,,245398
51751,291636,,245433
51754,291639,,245456
51761,291651,,245483
51764,291702,,245520
51766,291716,,245526
51768,291720,,245611
51773,291792,,245618
51777,291817,,245619
51782,291868,,245630
51787,291903,,245650
51788,291936,,245656
51791,292043,,245679
51793,292050,,245689
51794,292108,,245704
51796,292113,,245706
51804,292208,,245856
51806,292209,,245880
51821,292212,,245883
51839,292380,,246032
51842,292527,,246138
51846,292529,,246204
51851,292590,,246268
51854,292626,,246273
51856,292789,,246346
51858,292852,,246377
51859,292854,,246395
51865,293265,,246423
51878,293270,,246487
51879,293278,,246536
51884,293284,,246550
51892,293429,,246566
51901,293456,,246573
51909,293473,,246608
51910,293479,,246985
51962,293493,,247009
51994,293507,,247013
52045,293509,,247046
52082,293517,,247075
52132,293939,,247118
52144,293940,,247145
52163,293948,,247152
52261,293951,,247155
52263,294150,,247188
52265,294162,,247191
52267,294179,,247231
52272,294186,,247244
52275,294190,,247251
52278,294524,,247260
52282,294567,,247263
52288,294571,,247265
52291,295075,,247271
52292,295084,,247313
52303,295089,,247315
52311,295099,,247335
52318,295114,,247337
52321,295118,,247385
52322,295368,,247435
52331,295369,,247445
52335,295405,,247453
52367,295434,,247489
52381,295435,,247638
52383,295444,,247694
52394,295453,,247713
52395,295462,,247772
52398,295484,,247780
52401,295520,,247798
52403,295601,,247957
52420,295621,,247999
52439,295681,,248003
52444,295719,,248082
52445,295897,,248184
52450,295902,,248201
52451,295957,,248213
52456,295975,,248272
52457,296065,,248379
52460,296073,,248396
52461,296083,,248402
52465,296102,,248422
52471,296185,,248460
52476,296186,,248475
52478,296191,,248498
52772,296204,,248540
52795,296213,,248541
52838,296257,,248548
52929,296372,,248549
53016,296523,,248555
53020,296525,,248640
53021,296527,,248683
53025,296531,,248686
53026,296557,,248733
53028,296564,,248851
53034,296576,,248941
53039,296581,,248944
53047,296595,,249001
53048,296596,,249002
53055,296600,,249012
53059,296621,,249296
53061,296819,,249300
53064,296831,,249369
53078,296845,,249381
53081,296859,,249388
53082,296870,,249556
53083,296871,,249558
53084,296916,,249588
53085,296947,,249589
53086,296969,,249593
53089,297018,,249595
53092,297087,,249596
53103,297134,,249602
53119,297136,,249619
53131,297137,,249620
53137,297148,,249622
53145,297334,,249640
53172,297338,,249643
53173,297352,,249644
53175,297355,,249649
53176,297357,,249746
53180,297362,,249834
53186,297393,,249845
53192,297396,,249849
53193,297403,,249904
53194,297423,,249915
53198,297424,,249933
53200,297439,,249934
53207,297441,,249957
53226,297445,,249969
53227,297447,,249994
53234,297450,,249999
53235,297493,,250001
53236,297554,,250002
53243,297565,,250003
53244,297624,,250011
53245,298128,,250012
53249,298184,,250043
53253,298192,,250055
53261,298193,,250065
53275,298213,,250067
53277,298265,,250070
53278,298386,,250073
53279,298421,,250097
53288,298431,,250101
53304,298435,,250112
53307,298451,,250150
53309,298519,,250185
53316,298521,,250214
53337,298539,,250234
53339,298546,,250268
53346,298578,,250315
53353,298582,,250356
53361,298588,,250423
53401,298619,,250430
53403,298620,,250467
53446,298641,,250469
53454,298776,,250488
53455,298780,,250489
53456,298814,,250493
53466,298819,,250499
53477,298844,,250515
53536,298857,,250775
53537,298898,,250784
53554,298911,,250958
53555,298980,,251045
53561,299020,,251083
53598,299034,,251114
53709,299046,,251335
53710,299291,,251378
53712,299321,,251385
53842,299351,,251391
53856,299361,,251401
53917,299393,,251405
53948,299451,,251410
53949,299452,,251415
53964,299474,,251555
53979,299531,,251593
54178,299564,,251603
54189,299570,,251611
54193,299571,,251681
54197,299595,,251683
54199,299803,,251705
54200,299804,,251711
54201,299817,,251718
54203,299829,,251724
54205,299857,,251761
54215,299863,,251764
54216,299867,,251765
54219,299884,,251785
54223,299894,,251796
54323,299952,,251799
54327,299968,,251806
54331,299991,,251813
54332,300143,,251873
54334,300192,,251882
54336,300198,,251884
54337,300203,,251902
54339,300224,,251997
54340,300237,,252049
54346,300317,,252060
54350,300421,,252169
54352,300439,,252170
54355,300454,,252194
54356,300461,,252215
54357,300462,,252230
54363,300488,,252236
54384,300544,,252376
54403,300547,,252379
54408,300552,,252391
54418,300563,,252423
54431,300615,,252464
54432,300681,,252539
54439,300693,,252559
54442,300718,,252682
54443,300755,,252889
54445,300797,,252962
54459,300898,,252976
54473,300978,,253199
54479,301010,,253277
54480,301019,,253290
54491,301021,,253373
54492,301023,,253383
54494,301075,,253413
54499,301082,,253489
54500,301096,,253561
54507,301188,,253611
54511,301208,,253714
54515,301212,,253738
54553,301218,,254094
54562,301241,,254186
54568,301277,,254193
54569,301405,,254203
54581,301415,,254242
54583,301491,,254270
54604,301793,,254273
54696,301797,,254280
54702,301810,,254311
54732,301820,,254317
54733,301844,,254325
54735,301870,,254338
54739,301876,,254355
54741,301878,,254369
54743,301921,,254381
54749,301931,,254382
54751,301935,,254393
54754,302131,,254397
54760,302159,,254401
54765,302163,,254434
54776,302341,,254481
54816,302357,,254509
54861,302363,,254908
54862,302414,,254914
54890,302419,,254931
55027,302546,,254945
55028,302820,,255056
55029,302829,,255082
55034,302831,,255086
55039,303003,,255098
55040,303004,,255099
55044,303024,,255100
55049,303075,,255107
55050,303244,,255114
55052,303246,,255135
55053,303442,,255160
55056,303462,,255170
55057,303464,,255171
55058,303465,,255179
55076,303472,,255193
55078,303477,,255214
55086,303512,,255276
55095,303544,,255319
55096,303598,,255360
55097,303603,,255489
55099,303613,,256431
55100,303651,,256451
55108,303655,,256453
55111,303772,,256456
55172,303826,,256484
55268,303827,,256487
55351,303831,,256489
55354,303875,,256498
55358,303891,,256502
55362,303904,,256551
55363,303932,,256576
55365,303935,,256648
55368,304013,,256696
55372,304058,,256714
55381,304062,,257032
55424,304103,,257036
55425,304105,,257043
55429,304113,,257052
55430,304126,,257056
55431,304138,,257062
55432,304145,,257069
55433,304224,,257104
55434,304227,,257131
55435,304325,,257155
55439,304326,,257163
55440,304332,,257229
55443,304338,,257267
55444,304401,,257274
55445,304413,,257278
55459,305023,,257297
55460,305033,,257312
55464,305037,,257315
55465,305068,,257317
55467,305087,,257392
55470,305090,,257414
55472,305104,,257430
55478,305123,,257432
55483,305177,,257436
55485,305178,,257522
55496,305195,,257524
55497,305196,,257553
55508,305204,,257573
55538,305275,,257578
55540,305331,,257580
55551,305434,,257585
55554,305468,,257604
55606,305504,,257632
55864,305509,,257660
55873,305512,,257675
55874,305513,,257744
55877,305531,,257932
55878,305647,,257933
55887,305648,,257939
55906,305650,,257946
55914,305664,,257953
55917,305669,,258000
55920,305670,,258037
55933,305680,,258064
55935,305684,,258088
55942,305698,,258222
55947,305748,,258224
55951,305749,,258241
55952,305752,,258268
55955,305767,,258324
55958,305770,,258331
55981,305795,,258350
55988,305881,,258364
55991,305897,,258466
56051,305987,,258475
56052,306002,,258505
56054,306030,,258533
56055,306052,,258554
56062,306213,,258606
56063,306398,,258655
56064,306401,,258829
56070,306403,,258838
56082,306410,,258852
56107,306415,,258940
56147,306424,,258941
56148,306552,,258950
56149,306596,,258954
56153,306621,,258956
56158,306633,,258958
56188,306635,,258959
56189,306658,,258963
56198,306700,,258966
56199,306707,,258967
56210,306724,,258978
56214,306732,,258985
56229,306778,,258986
56319,306825,,258987
56331,306827,,258991
56338,306833,,258993
56339,306867,,258995
56346,306870,,259004
56349,306984,,259006
56351,306987,,259018
56352,307140,,259023
56353,307157,,259024
56358,307172,,259026
56359,307189,,259029
56362,307198,,259032
56363,307228,,259038
56367,307280,,259039
56371,307475,,259041
56372,307508,,259048
56373,307638,,259064
56375,307652,,259072
56376,307660,,259087
56378,307668,,259107
56379,307669,,259266
56380,307701,,259269
56382,307795,,259339
56388,307798,,259353
56422,307806,,259396
56423,307816,,259399
56424,307841,,259408
56429,307843,,259416
56430,307847,,259418
56440,307850,,259428
56444,307877,,259430
56463,307880,,259444
56471,307890,,259448
56472,307931,,259449
56496,307974,,259466
56501,308022,,259485
56520,308268,,259489
56523,308275,,259497
56535,308295,,259502
56539,308308,,259531
56540,308325,,259572
56541,308337,,259628
56563,308399,,259655
56567,308403,,259661
56591,308459,,259671
56595,308530,,259677
56597,308532,,259735
56605,308542,,259739
56607,308552,,259822
56608,308585,,259885
56610,308693,,259914
56635,308780,,259981
56648,308783,,259982
56664,308821,,259994
56665,308823,,260001
56690,308828,,260008
56692,308829,,260035
56696,308868,,260044
56700,308876,,260052
56701,308877,,260057
56707,308878,,260063
56710,308923,,260086
56720,309008,,260131
56727,309084,,260150
56732,309118,,260158
56738,309179,,260169
56748,309222,,260170
56752,309232,,260296
56758,309256,,260306
56759,309258,,260308
56760,309263,,260309
56761,309294,,260321
56762,309347,,260336
56769,309375,,260342
56770,309378,,260483
56771,309390,,260502
56782,309400,,260540
56783,309413,,260583
56788,309441,,260610
56789,309702,,260613
56807,309708,,260615
56817,309712,,260648
56829,309911,,260649
56833,309932,,260652
56841,309941,,260662
56843,309992,,260702
56857,310029,,260732
56858,310037,,260733
56862,310055,,260767
56865,310056,,260778
56867,310093,,260831
56870,310112,,260833
56875,310152,,260848
56884,310187,,260936
56898,310228,,260937
56900,310229,,260993
56901,310241,,261028
56916,310282,,261029
56922,310304,,261048
56926,310363,,261060
56927,310443,,261061
56928,310488,,261124
56930,310521,,261254
56932,310567,,261264
56935,310579,,261303
56936,310584,,261461
56946,310664,,261492
56948,310691,,261493
56950,310692,,261529
56951,310696,,261586
56954,310728,,261590
56962,310947,,261594
56963,310950,,261685
56964,311056,,261745
56966,311178,,261768
56971,311193,,261769
56974,311198,,261782
56977,311208,,261784
56982,311257,,261785
57040,311287,,261799
57041,311315,,261802
57042,311320,,261807
57043,311322,,261814
57070,311383,,261819
57085,311425,,261900
57089,311443,,261902
57091,311450,,261933
57092,311466,,261945
57093,311547,,261995
57094,311555,,262050
57098,311586,,262121
57104,311629,,262151
57108,311736,,262159
57109,311906,,262344
57110,311965,,262346
57114,312033,,262443
57116,312144,,262446
57118,312247,,262472
57119,312316,,262502
57120,312318,,262503
57121,312322,,262505
57122,312325,,262540
57123,312366,,262561
57126,312367,,262563
57128,312438,,262568
57130,312446,,262606
57131,312447,,262784
57133,312454,,262792
57134,312552,,262798
57138,312870,,262862
57148,312909,,262879
57152,312949,,262912
57155,313237,,262969
57158,313239,,263052
57177,313276,,263053
57201,313281,,263056
57202,313297,,263058
57205,313309,,263064
57219,313319,,263065
57247,313331,,263076
57254,313345,,263088
57256,313357,,263091
57257,313358,,263095
57258,313375,,263099
57259,313377,,263100
57260,313445,,263108
57261,313525,,263126
57264,313539,,263136
57268,313546,,263159
57270,313586,,263226
57273,313595,,263276
57274,313783,,263397
57282,313795,,263417
57290,313813,,263473
57295,313827,,263501
57347,313840,,263528
57349,314051,,263529
57360,314072,,263629
57361,314084,,263630
57362,314087,,263637
57365,314135,,263691
57411,314140,,263865
57412,314271,,263868
57413,314542,,263877
57424,314557,,263896
57425,315050,,263910
57427,315089,,263919
57429,315092,,263925
57431,315096,,263932
57461,315117,,263936
57469,315138,,263963
57473,315164,,263982
57482,315171,,263985
57483,315179,,263990
57485,315180,,264086
57522,315183,,264092
57545,315205,,264098
57546,315246,,264131
57549,315273,,264141
57551,315362,,264143
57558,315442,,264144
57559,315472,,264180
57562,315473,,264186
57565,315610,,264217
57566,315611,,264222
57584,315688,,264224
57590,315750,,264233
57595,315759,,264235
57600,315765,,264247
57601,315803,,264262
57604,315806,,264281
57614,315807,,264282
57616,315961,,264292
57634,315963,,264294
57641,317308,,264358
57648,317328,,264360
57651,317359,,264361
57653,317360,,264385
57654,317373,,264437
57671,317384,,264535
57685,317412,,264609
57708,317428,,264707
57712,317453,,264760
57726,317464,,264790
57743,317505,,265055
57773,317510,,265385
57777,317517,,265517
57783,317521,,265542
57796,317522,,265576
57801,317529,,265627
57829,317536,,265785
57834,317623,,265800
57840,317655,,265814
57856,317782,,266139
57869,317854,,266141
57887,317878,,266149
57888,317889,,266203
57962,317905,,266207
57981,317922,,266226
58015,317975,,266246
58085,318083,,266259
58124,318111,,266262
58318,318244,,266265
58419,318307,,266308
58437,318313,,266315
58543,318708,,266318
58679,318725,,266325
58755,318737,,266335
58758,318738,,266414
58761,318773,,266435
58762,318787,,266456
58763,318867,,266457
58773,318868,,266480
58787,318942,,266576
58806,318948,,266607
58807,318965,,266637
58809,318996,,266795
58811,319039,,266855
58817,319062,,266857
58819,319068,,266859
58820,319078,,266867
58824,319107,,266879
58826,319124,,266880
58830,319136,,266956
58832,319199,,266970
58837,319320,,266995
58838,319324,,267014
58839,319348,,267060
58841,319359,,267081
58847,319360,,267106
58856,319415,,267110
58858,319457,,267112
58860,319531,,267149
58862,319543,,267157
58866,319580,,267181
58869,319582,,267187
58875,319584,,267194
58882,319616,,267216
58895,319618,,267249
58896,319632,,267254
58898,319645,,267268
58902,319654,,267311
58904,319660,,267325
58909,319669,,267339
58914,319701,,267347
58934,319745,,267351
58939,319746,,267358
58944,319920,,267360
58950,319937,,267406
58999,320034,,267455
59000,320091,,267626
59005,320214,,267678
59020,320236,,267693
59024,320387,,268099
59031,320493,,268106
59035,320615,,268113
59037,320617,,268140
59042,320618,,268160
59044,320622,,268167
59045,320626,,268179
59052,320633,,268220
59057,320641,,268231
59058,320661,,268235
59073,320666,,268242
59098,320678,,268274
59100,320681,,268319
59112,320686,,268345
59119,320694,,268349
59123,320697,,268356
59140,320710,,268400
59193,320721,,268411
59202,320740,,268435
59225,320758,,268438
59228,320776,,268509
59281,320797,,268704
59367,320809,,268721
59391,320843,,268725
59523,320857,,268748
59534,320904,,268792
59562,321031,,268794
59630,321057,,268807
59634,321077,,268868
59694,321094,,268874
59779,321142,,268878
59955,321147,,268894
60056,321294,,268899
60103,321436,,268901
60104,321693,,268903
60116,321744,,269081
60127,321769,,269091
60154,321833,,269092
60166,321835,,269093
60181,321852,,269095
60204,321854,,269097
60236,321921,,269128
60268,321935,,269223
60312,321950,,269276
60318,321962,,269421
60455,321977,,270484
60457,322035,,270492
60674,322036,,270517
60683,322052,,270519
60689,322058,,270530
60690,322060,,270535
60698,322473,,270549
60700,322477,,270556
60704,322681,,270575
60711,322684,,270577
60723,322761,,270583
60739,322788,,270590
60743,322809,,270604
60745,322866,,270657
60748,322885,,270659
60750,323141,,270660
60754,323361,,270663
60755,323371,,270664
60761,323374,,270667
60795,323389,,270836
60801,323400,,271092
60805,323410,,271104
60849,323492,,271107
60857,323500,,271108
60858,323507,,271228
60861,323511,,271231
60867,323530,,271483
60869,323538,,271499
60875,323562,,271514
60876,323566,,271524
60880,323588,,271529
60889,323590,,271532
60910,323672,,271541
60929,323689,,271553
60931,323823,,271589
60932,323830,,271598
60934,323858,,271599
60938,323859,,271641
60955,323871,,271644
60958,323891,,271651
60967,323916,,271747
61008,323941,,271755
61009,323944,,271757
61016,323950,,271759
61018,323966,,271762
61023,323990,,271763
61025,323998,,271767
61027,324000,,271768
61034,324021,,271783
61045,324035,,271808
61091,324051,,271831
61095,324056,,271837
61106,324195,,271852
61169,324220,,271866
61172,324228,,271871
61176,324234,,271890
61193,324247,,271947
61194,324276,,271959
61198,324339,,271990
61200,324342,,272035
61201,324587,,272071
61205,324597,,272072
61209,324601,,272074
61210,324612,,272089
61212,324616,,272100
61215,324617,,272382
61216,324667,,272387
61227,324679,,272412
61228,324693,,272414
61235,324698,,272418
61236,324711,,272429
61252,324715,,272470
61271,324718,,272494
61273,324775,,272497
61277,324886,,272508
61281,324896,,272531
61284,324904,,272546
61369,324905,,272563
61370,324906,,272571
61374,324907,,272574
61375,324908,,272575
61383,325006,,272592
61385,325028,,272757
61390,325079,,272848
61418,325088,,272928
61419,325201,,273400
61422,325373,,273401
61424,325401,,273462
61426,325405,,273476
61427,325576,,273490
61433,325578,,273517
61435,325587,,273613
61436,325706,,273633
61456,326011,,273742
61477,326035,,273768
61486,326196,,273794
61497,326331,,273855
61499,326334,,273857
61514,326431,,274066
61515,326434,,274076
61520,326437,,274092
61521,326442,,274094
61530,326453,,274116
61538,326458,,274132
61542,326459,,274191
61543,326465,,274194
61559,326470,,274223
61562,326493,,274239
61564,326494,,274259
61570,326524,,274260
61578,326568,,274306
61594,326655,,274342
61595,326704,,274344
61596,326717,,274381
61601,326718,,274398
61609,326721,,274468
61615,326725,,274471
61621,326937,,274475
61633,327033,,274491
61634,327042,,274503
61636,327142,,274521
61638,327152,,274534
61640,327163,,274562
61641,327172,,274563
61643,327175,,274567
61645,327190,,274581
61646,327201,,274625
61659,327209,,274633
61668,327211,,274638
61669,327247,,274669
61676,327279,,274671
61687,328869,,274672
61706,328907,,274677
61724,328943,,274707
61771,328950,,274731
61786,328970,,274872
61805,328994,,275058
61890,328998,,275078
61898,328999,,275112
61903,329002,,275157
61928,329005,,275158
61941,329006,,275281
61997,329019,,275293
62009,329087,,275302
62026,329088,,275307
62076,329113,,275312
62081,329134,,275578
62086,329151,,275587
62096,329164,,275588
62274,329185,,275606
62288,329219,,275620
62389,329352,,275629
62391,329354,,275654
62392,329391,,275657
62395,329408,,275670
62398,329418,,275673
62399,329545,,275693
62400,329550,,275713
62408,329560,,275837
62409,329566,,275870
62410,329574,,275871
62423,329581,,275895
62424,329626,,275910
62437,329646,,275911
62447,329658,,275915
62449,329665,,275928
62451,329686,,275940
62455,329707,,275942
62456,329714,,275969
62468,329744,,275979
62475,329757,,276021
62476,329769,,276040
62480,330386,,276041
62481,330449,,276283
62504,330459,,277245
62528,330471,,277259
62569,330633,,277300
62598,330648,,277318
62751,330650,,277321
62752,330654,,277323
62771,330724,,277357
62775,330766,,277404
62778,330767,,277485
62816,330853,,277509
62925,330940,,277696
62936,330973,,277797
62974,330974,,277951
62975,331495,,278033
62989,331561,,278628
63007,331612,,278645
63020,331613,,278654
63029,331717,,278682
63031,331979,,278684
63047,332007,,278690
63060,332046,,278694
63068,332064,,278705
63105,332078,,279085
63127,332084,,279238
63323,332089,,279270
63325,332122,,279296
63326,332133,,279317
63330,332144,,279322
63331,332146,,279335
63332,332183,,279353
63334,332223,,279356
63344,332320,,279359
63345,332338,,279437
63363,332468,,279587
63364,332821,,279727
63366,332914,,279748
63367,332922,,279754
63369,332952,,279768
63370,333016,,279786
63379,333077,,279807
63383,333171,,279826
63384,333285,,279865
63385,333287,,279866
63391,333290,,279927
63397,333302,,279948
63420,333437,,279997
63438,333460,,280002
63439,333538,,280031
63440,333634,,280033
63442,333713,,280035
63443,333716,,280059
63456,333741,,280060
63459,334069,,280068
63461,334071,,280073
63467,334072,,280077
63470,334074,,280092
63472,334075,,280108
63475,334205,,280126
63487,334214,,280292
63493,334216,,280362
63494,334225,,280364
63496,334227,,280369
63498,334231,,280394
63499,334301,,280408
63501,334304,,280534
63504,334310,,280535
63512,334357,,280590
63513,334380,,280603
63521,334382,,280790
63529,334394,,280808
63534,334401,,280842
63573,334743,,280871
63578,334745,,280936
63581,334887,,280984
63582,335008,,281013
63583,335009,,281235
63590,335011,,281316
63602,335050,,281317
63634,335096,,281325
63638,335531,,281340
63639,335537,,281639
63642,335563,,281646
63644,335564,,281671
63649,335566,,281683
63650,335594,,281722
63658,335601,,281723
63665,335613,,281740
63666,335614,,281741
63668,335650,,282026
63673,335686,,282041
63676,335825,,282184
63686,335826,,282193
63691,335875,,282211
63693,335883,,282222
63700,336064,,282229
63705,336073,,282233
63706,336262,,282263
63707,336277,,282486
63708,336588,,282488
63709,336596,,282502
63713,336652,,282603
63725,336667,,282802
63731,336686,,282804
63733,336691,,282814
63735,336762,,282817
63740,336824,,282826
63741,337021,,282828
63743,337026,,282849
63748,337028,,282938
63752,337106,,282940
63766,337148,,282944
63781,337375,,282958
63791,337540,,282964
63809,337542,,282981
63846,337676,,282993
63848,337679,,282994
63850,337702,,283058
63851,337704,,283089
63855,337734,,283119
63859,337740,,283168
63860,337742,,283194
63865,337749,,283238
63868,337752,,283249
63872,337754,,283267
63873,337761,,283331
63876,337765,,283371
63880,337794,,283381
63882,337992,,283388
63892,338159,,283390
63899,338162,,283403
63904,338189,,283408
63931,338201,,283447
63936,338266,,283629
63964,338292,,283632
63981,338293,,283634
63987,338325,,283647
63988,338399,,283656
63994,338444,,283665
63998,338493,,283666
64000,339072,,283668
64001,339073,,283679
64005,339078,,283691
64010,339278,,283735
64012,339291,,283753
64018,339292,,283790
64021,339356,,283798
64054,339357,,283807
64060,339358,,283849
64085,339385,,283959
64086,339392,,283968
64087,339394,,283979
64089,339396,,284409
64090,339405,,284423
64092,339451,,284424
64093,339476,,284426
64094,339582,,284427
64096,339589,,284441
64097,339688,,284449
64100,339744,,284494
64102,339754,,284510
64104,339781,,284533
64106,339887,,284568
64107,339890,,284576
64111,339909,,284589
64122,340130,,284594
64126,340131,,284599
64131,340134,,284600
64136,340221,,284602
64139,340326,,284609
64140,340333,,284631
64143,340351,,284649
64144,340378,,284661
64152,340379,,284669
64155,340382,,284688
64162,340408,,284699
64168,340410,,284712
64171,340412,,284720
64174,340421,,284747
64176,340423,,284768
64207,340482,,284773
64261,340485,,284782
64267,340488,,284854
64283,340681,,284859
64321,340715,,284861
64323,340729,,284865
64408,340833,,284867
64413,340885,,284886
64414,340889,,284913
64415,340894,,285008
64417,341008,,285074
64418,341026,,285216
64444,341278,,285218
64445,341306,,285237
64498,341412,,285240
64512,341421,,285270
64783,341466,,285277
64834,341533,,285279
64865,341548,,285295
64866,341631,,285311
64877,341639,,285328
64878,341664,,285342
64894,341670,,285346
64922,341672,,285349
64941,341833,,285363
64953,341841,,285390
64978,341906,,285392
65009,341944,,285412
65083,341980,,285450
65101,341982,,285460
65104,341989,,285498
65299,342003,,285512
65325,342020,,285560
65349,342073,,285585
65451,342093,,285659
65462,342127,,285984
65647,342149,,285986
65747,342156,,286088
65752,342187,,286101
65753,342189,,286142
65767,342282,,286163
65768,342289,,286166
65770,342300,,286167
65772,342361,,286169
65780,342412,,286170
65790,342518,,286186
65793,342525,,286205
65810,342553,,286230
65812,342694,,286233
65822,342696,,286235
65826,342733,,286279
65839,342748,,286286
65842,342829,,286302
65843,342874,,286311
65851,342925,,286319
65855,342971,,286338
65857,343032,,286401
65863,343037,,286403
65906,343165,,286406
65950,343184,,286408
65966,343194,,286508
65977,343429,,286509
66001,343648,,286587
66187,343681,,286589
66273,343821,,286592
66411,343893,,286622
66430,343900,,286767
66432,343942,,286849
66474,343978,,286883
66494,343982,,287009
66580,343985,,287151
66639,343989,,287345
66858,343993,,287348
66860,344015,,287351
66862,344017,,287390
66863,344018,,287402
66874,344022,,287426
66875,344032,,287428
66879,344066,,287431
66880,344075,,287455
66881,344167,,287468
66899,344172,,287495
66902,344180,,287500
66903,344208,,287503
66905,344209,,287508
66910,344239,,287509
66917,344379,,287515
66919,344385,,287535
66925,344558,,287540
66926,344600,,287642
66936,344623,,287681
66938,344669,,287822
66943,344814,,287823
66952,344816,,287838
66959,344852,,287846
66964,344868,,287883
66970,344875,,287902
66971,344917,,287930
66975,344931,,287971
66976,344935,,288084
66978,344954,,288090
66980,345073,,288094
66981,345077,,288100
67005,345116,,288139
67022,345237,,288205
67029,345238,,288220
67047,345244,,288249
67049,345273,,288299
67129,345275,,288752
67148,345316,,288785
67154,345326,,288788
67155,345548,,288804
67161,345649,,288824
67185,345657,,288831
67203,345676,,288847
67215,345754,,288867
67217,345852,,288872
67279,345856,,288873
67306,345865,,288876
67316,345869,,288885
67319,345873,,288953
67322,345874,,288957
67325,345876,,288959
67327,345992,,288974
67328,345993,,289004
67329,346047,,289007
67337,346173,,289008
67340,346510,,289009
67371,346515,,289079
67373,346754,,289082
67378,346755,,289105
67379,346795,,289112
67384,346800,,289143
67387,346810,,289150
67391,346873,,289157
67393,346979,,289204
67396,346986,,289256
67399,346991,,289264
67403,346994,,289387
67406,347113,,289419
67425,347114,,289435
67426,347127,,289469
67441,347258,,289792
67456,347271,,289799
67463,347282,,289805
67464,347292,,289807
67466,347476,,289813
67473,347827,,289822
67474,347831,,289971
67475,347843,,289980
67476,347844,,289998
67477,347846,,290105
67478,347854,,290112
67484,347859,,290149
67486,347953,,290159
67489,347958,,290195
67492,347965,,290229
67503,347982,,290298
67504,347986,,290306
67507,348002,,290309
67510,348003,,290311
67520,348005,,290316
67525,348008,,290322
67531,348065,,290332
67532,348104,,290333
67535,348185,,290335
67542,348641,,290337
67563,348895,,290356
67624,348964,,290359
67637,349213,,290389
67643,349645,,290438
67667,349651,,290454
67684,349677,,290457
67717,349699,,290458
67737,349728,,290488
67738,349735,,290512
67808,349747,,290627
67823,349785,,290651
67878,349806,,290666
67953,349920,,290678
67958,349975,,290966
67961,349979,,290978
67965,349985,,290986
67997,349990,,291188
68005,349992,,291190
68010,350012,,291258
68013,350013,,291361
68029,350057,,291369
68042,350123,,291370
68069,350586,,291415
68080,350666,,291465
68212,350669,,291508
68222,350709,,291586
68223,351262,,291591
68228,352337,,291603
68233,352398,,291604
68236,352403,,291632
68239,352422,,291643
68291,352441,,291644
68296,352489,,291651
68301,352502,,291674
68316,352520,,291702
68317,352526,,291720
68324,352558,,291721
68347,352600,,291819
68367,352611,,291912
68369,352647,,291917
68401,352685,,291936
68402,352823,,291968
68411,352852,,291977
68420,352909,,292005
68433,353032,,292059
68455,353148,,292113
68483,353195,,292205
68500,353366,,292206
68522,353394,,292391
68540,353461,,292526
68562,353466,,292530
68575,353483,,292597
68580,353504,,292601
68587,353512,,292789
68588,353546,,292791
68597,353580,,292853
68598,353608,,292854
68653,353696,,292949
68658,353790,,293265
68684,353818,,293270
68701,353846,,293274
68702,353889,,293282
68715,353899,,293284
68719,353980,,293361
68740,353984,,293447
68742,353989,,293468
68783,354002,,293471
68784,354023,,293480
68814,354070,,293493
68831,354081,,293499
68837,354221,,293509
68839,354283,,293516
68846,354291,,293519
68847,354292,,293553
68849,354324,,293586
68851,354325,,293809
68852,354326,,293865
68853,354329,,293912
68873,354333,,293948
68879,354438,,293956
68887,354489,,294002
68894,354611,,294072
68895,354612,,294150
68897,354618,,294168
68930,354637,,294174
68942,354744,,294179
68944,354834,,294182
68945,354857,,294190
68979,354866,,294523
68983,354898,,294524
68986,354947,,294543
68989,354953,,294567
68991,354957,,294571
68993,354967,,294573
68996,355017,,294597
69005,355036,,294619
69007,355048,,294659
69009,355062,,294664
69017,355063,,294677
69019,355292,,294681
69020,355337,,294682
69025,355365,,294687
69035,355383,,294721
69044,355520,,294771
69063,355551,,295001
69079,355555,,295022
69091,355567,,295089
69092,355621,,295118
69096,355845,,295122
69098,355860,,295328
69099,355862,,295407
69100,355867,,295423
69102,355902,,295435
69105,355923,,295446
69116,355927,,295484
69117,355931,,295510
69119,355939,,295520
69129,355940,,295532
69130,355946,,295541
69131,355950,,295562
69134,355960,,295573
69138,355995,,295582
69139,356048,,295587
69153,356051,,295597
